,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SPL01,2018-01-26,1,MM,(ID1225) Pra Loup,,"42 427,11 zł","2 424,75 zł","18 273,20 zł","2 348,50 zł","19 380,66 zł","1 947,27 zł","32 454,50 zł","796,49 zł",50,40,,FRANCJA,10,1199,1099,1,0,0,0,1,ZIMA,0,0,1
SPL02,2018-02-02,1,MM,(ID1225) Pra Loup,,"51 028,89 zł","14 778,20 zł","17 003,80 zł","3 120,01 zł","16 126,88 zł","2 395,24 zł","39 920,72 zł","0,00 zł",50,40,,FRANCJA,10,1299,1199,1,0,0,0,1,ZIMA,0,0,1
SSV01,2018-02-09,1,IG,(ID1310) SłoweniaFerie,,"28 196,42 zł","8 728,64 zł","14 073,75 zł","1 690,00 zł","3 704,03 zł","1 483,64 zł","24 727,26 zł","297,48 zł",50,20,,SŁOWENIA,8,1499,1399,1,0,0,0,1,ZIMA,0,0,1
SHP01,2018-02-17,1,MM,(ID1321) Chopok Ferie,,"52 221,03 zł","11 284,75 zł","35 919,40 zł","0,00 zł","5 016,88 zł","1 093,98 zł","18 233,03 zł","583,84 zł",50,20,,SŁOWACJA,8,1099,899,1,0,0,0,1,ZIMA,0,0,1
STP01,2018-02-23,1,MM,(ID1235) Passo Tonale,,"95 672,84 zł","12 255,00 zł","23 973,84 zł","2 970,01 zł","56 473,99 zł","6 972,29 zł","116 204,87 zł","0,00 zł",100,90,,WŁOCHY,10,1899,1699,1,0,0,0,1,ZIMA,0,0,1
SSH02,2018-03-02,1,MM,(ID1231) Chopok Marzec,,"24 193,28 zł","4 533,00 zł","19 558,00 zł","1 690,00 zł","-1 587,72 zł","1 416,39 zł","23 606,54 zł","0,00 zł",45,30,,SŁOWACJA,8,949,899,1,0,0,0,1,ZIMA,0,0,1
SVF01,2018-03-02,1,IG,(ID1237) Val di Fiemme,,"65 629,40 zł","10 590,60 zł","52 830,80 zł","2 208,00 zł","0,00 zł","2 871,18 zł","47 852,97 zł","0,00 zł",50,34,,WŁOCHY,8,1999,1899,1,0,0,0,1,ZIMA,0,0,1
SCC01,2018-03-09,1,IG,(ID1222) Chamrousse,,"48 012,08 zł","14 766,80 zł","15 424,64 zł","2 136,00 zł","15 684,64 zł","1 312,14 zł","21 869,00 zł","0,00 zł",50,35,,FRANCJA,8,1599,1349,1,0,0,0,1,ZIMA,0,0,1
SLO01,2018-03-16,1,AK,(ID1312) Les Sybelles,https://student.travel.pl/wyjazd-socamp-les-sybelles-2018,"244 496,25 zł","60 821,23 zł","151 449,09 zł","8 080,80 zł","24 145,13 zł","15 173,04 zł","252 883,95 zł","0,00 zł",400,300,200,FRANCJA,10,1299,999,1,0,0,0,1,ZIMA,0,0,1
